d_loss_epoch,d_loss_step,epoch,g_loss/adv_epoch,g_loss/adv_step,g_loss/rec_epoch,g_loss/rec_step,g_loss/total_epoch,g_loss/total_step,lr-Adam,lr-Adam-1,step,val_loss,val_psnr,val_ssim
,,,,,,,,,0.00016,0.0001,0,,,
,1.3876674175262451,0,,0.6465462446212769,,253362.546875,,126681.921875,,,0,,,
,,,,,,,,,0.00015999998519559389,9.999999111735633e-05,1,,,
,1.3865106105804443,0,,0.8451871871948242,,256998.03125,,128499.859375,,,1,,,
,,,,,,,,,0.0001599999407823814,9.999996446942884e-05,2,,,
,1.4034106731414795,0,,0.6149863600730896,,244418.28125,,122209.765625,,,2,,,
,,,,,,,,,0.00015999986676038005,9.999992005622802e-05,3,,,
,1.3899418115615845,0,,0.6571805477142334,,231323.0,,115662.15625,,,3,,,
,,,,,,,,,0.00015999976312961906,9.999985787777144e-05,4,,,
,1.383912205696106,0,,0.736348032951355,,226295.5,,113148.484375,,,4,,,
,,,,,,,,,0.0001599996298901394,9.999977793408364e-05,5,,,
,1.3837976455688477,0,,0.7082369327545166,,212137.03125,,106069.234375,,,5,,,
,,,,,,,,,0.00015999946704199356,9.999968022519613e-05,6,,,
,1.3821406364440918,0,,0.6657170057296753,,194484.96875,,97243.140625,,,6,,,
,,,,,,,,,0.00015999927458524592,9.999956475114756e-05,7,,,
,1.3815127611160278,0,,0.6996206045150757,,180042.3125,,90021.859375,,,7,,,
,,,,,,,,,0.00015999905251997242,9.999943151198346e-05,8,,,
,1.3808494806289673,0,,0.7064729928970337,,168569.921875,,84285.6640625,,,8,,,
,,,,,,,,,0.00015999880084626076,9.999928050775646e-05,9,,,
,1.3815367221832275,0,,0.6814311742782593,,159235.40625,,79618.375,,,9,,,
,,,,,,,,,0.00015999851956421027,9.999911173852616e-05,10,,,
,1.3791406154632568,0,,0.7233583331108093,,150797.71875,,75399.578125,,,10,,,
,,,,,,,,,0.000159998208673932,9.999892520435921e-05,11,,,
,1.3795100450515747,0,,0.6263965368270874,,142730.890625,,71366.0703125,,,11,,,
,,,,,,,,,0.00015999786817554872,9.999872090532923e-05,12,,,
,1.3856213092803955,0,,0.8853510618209839,,132136.890625,,66069.328125,,,12,,,
,,,,,,,,,0.0001599974980691948,9.999849884151687e-05,13,,,
,1.4082947969436646,0,,0.6247793436050415,,126371.2578125,,63186.25,,,13,,,
,,,,,,,,,0.00015999709835501637,9.999825901300981e-05,14,,,
,1.3841559886932373,0,,0.6567949056625366,,120586.2734375,,60293.79296875,,,14,,,
,,,,,,,,,0.00015999666903317123,9.999800141990273e-05,15,,,
,1.3851768970489502,0,,0.7230604290962219,,120795.40625,,60398.4296875,,,15,,,
,,,,,,,,,0.00015999621010382887,9.999772606229732e-05,16,,,
,1.380446434020996,0,,0.7134542465209961,,112553.109375,,56277.26953125,,,16,,,
,,,,,,,,,0.0001599957215671705,9.99974329403023e-05,17,,,
,1.3812546730041504,0,,0.6818764209747314,,105524.09375,,52762.7265625,,,17,,,
,,,,,,,,,0.00015999520342338893,9.999712205403336e-05,18,,,
,1.3824108839035034,0,,0.6869672536849976,,104448.84375,,52225.109375,,,18,,,
,,,,,,,,,0.00015999465567268875,9.999679340361326e-05,19,,,
,1.3796429634094238,0,,0.6996184587478638,,100307.953125,,50154.671875,,,19,,,
,,,,,,,,,0.0001599940783152862,9.999644698917173e-05,20,,,
,1.3818120956420898,0,,0.7066246867179871,,93027.1953125,,46514.3046875,,,20,,,
,,,,,,,,,0.0001599934713514092,9.999608281084554e-05,21,,,
,1.372549295425415,0,,0.6308614015579224,,93673.0,,46837.1328125,,,21,,,
,,,,,,,,,0.0001599928347812974,9.999570086877845e-05,22,,,
,1.3926993608474731,0,,0.891329288482666,,91483.3984375,,45742.59375,,,22,,,
,,,,,,,,,0.00015999216860520206,9.999530116312125e-05,23,,,
,1.4118218421936035,0,,0.6813769936561584,,91885.65625,,45943.51171875,,,23,,,
,,,,,,,,,0.0001599914728233862,9.999488369403173e-05,24,,,
,1.3769969940185547,0,,0.604509174823761,,87879.53125,,43940.375,,,24,,,
,,,,,,,,,0.0001599907474361245,9.999444846167473e-05,25,,,
,1.3916115760803223,0,,0.7039177417755127,,86778.171875,,43389.7890625,,,25,,,
,,,,,,,,,0.00015998999244370337,9.999399546622204e-05,26,,,
,1.376484751701355,0,,0.7376787662506104,,83175.15625,,41588.3125,,,26,,,
,,,,,,,,,0.00015998920784642082,9.999352470785251e-05,27,,,
,1.3812559843063354,0,,0.6963565349578857,,81586.296875,,40793.84375,,,27,,,
,,,,,,,,,0.0001599883936445866,9.999303618675199e-05,28,,,
,1.3733885288238525,0,,0.6640948057174683,,77140.96875,,38571.1484375,,,28,,,
,,,,,,,,,0.00015998754983852218,9.999252990311333e-05,29,,,
,1.3758394718170166,0,,0.711437463760376,,78200.9453125,,39101.1875,,,29,,,
,,,,,,,,,0.00015998667642856063,9.99920058571364e-05,30,,,
,1.3652842044830322,0,,0.6417691707611084,,71590.1875,,35795.734375,,,30,,,
,,,,,,,,,0.0001599857734150468,9.99914640490281e-05,31,,,
,1.3796203136444092,0,,0.9111422300338745,,73613.3125,,36807.56640625,,,31,,,
,,,,,,,,,0.00015998484079833718,9.999090447900233e-05,32,,,
,1.4077966213226318,0,,0.7286984324455261,,76044.171875,,38022.8125,,,32,,,
,,,,,,,,,0.00015998387857879995,9.999032714727998e-05,33,,,
,1.3711705207824707,0,,0.5455719232559204,,74628.21875,,37314.65625,,,33,,,
,,,,,,,,,0.00015998288675681498,9.9989732054089e-05,34,,,
,1.3932039737701416,0,,0.7351088523864746,,73940.875,,36971.17578125,,,34,,,
,,,,,,,,,0.0001599818653327738,9.99891191996643e-05,35,,,
,1.3682676553726196,0,,0.7498458623886108,,69561.9296875,,34781.71484375,,,35,,,
,,,,,,,,,0.00015998081430707963,9.99884885842478e-05,36,,,
,1.366832971572876,0,,0.6865971088409424,,66181.453125,,33091.4140625,,,36,,,
,,,,,,,,,0.00015997973368014749,9.99878402080885e-05,37,,,
,1.3613696098327637,0,,0.6676128506660461,,63362.4296875,,31681.8828125,,,37,,,
,,,,,,,,,0.00015997862345240393,9.998717407144236e-05,38,,,
,1.3497018814086914,0,,0.7722734808921814,,65700.5546875,,32851.05078125,,,38,,,
,,,,,,,,,0.00015997748362428727,9.998649017457236e-05,39,,,
,1.3422338962554932,0,,0.49840492010116577,,68467.0625,,34234.02734375,,,39,,,
,,,,,,,,,0.00015997631419624748,9.998578851774849e-05,40,,,
,1.3453688621520996,0,,1.0688977241516113,,72451.59375,,36226.8671875,,,40,,,
,,,,,,,,,0.00015997511516874623,9.998506910124774e-05,41,,,
,1.4483668804168701,0,,0.8490833044052124,,70811.921875,,35406.8125,,,41,,,
,,,,,,,,,0.0001599738865422569,9.998433192535414e-05,42,,,
,1.3721420764923096,0,,0.6591269969940186,,64251.89453125,,32126.60546875,,,42,,,
,,,,,,,,,0.00015997262831726452,9.998357699035873e-05,43,,,
,1.320425033569336,0,,0.5555757880210876,,62231.28125,,31116.1953125,,,43,,,
,,,,,,,,,0.00015997134049426583,9.998280429655951e-05,44,,,
,1.3511853218078613,0,,0.7935012578964233,,66447.4375,,33224.51171875,,,44,,,
,,,,,,,,,0.00015997002307376922,9.998201384426153e-05,45,,,
,1.3238085508346558,0,,0.7699024677276611,,64846.8046875,,32424.171875,,,45,,,
,,,,,,,,,0.0001599686760562948,9.998120563377688e-05,46,,,
,1.3152827024459839,0,,0.5919976234436035,,65718.4296875,,32859.8046875,,,46,,,
,,,,,,,,,0.0001599672994423743,9.998037966542459e-05,47,,,
,1.269047737121582,0,,0.9732943773269653,,65845.1875,,32923.56640625,,,47,,,
,,,,,,,,,0.0001599658932325513,9.997953593953078e-05,48,,,
,1.3367857933044434,0,,0.6112157106399536,,60186.25390625,,30093.73828125,,,48,,,
,,,,,,,,,0.00015996445742738087,9.997867445642852e-05,49,,,
,1.1701501607894897,0,,0.9692189693450928,,64285.65625,,32143.796875,,,49,,,
,,,,,,,,,0.00015996299202742983,9.997779521645789e-05,50,,,
,1.1249643564224243,0,,0.0919899120926857,,61833.4453125,,30916.81640625,,,50,,,
,,,,,,,,,0.00015996149703327673,9.997689821996604e-05,51,,,
,3.0908360481262207,0,,1.298561692237854,,61006.80078125,,30504.69921875,,,51,,,
,,,,,,,,,0.00015995997244551175,9.997598346730705e-05,52,,,
,1.321945309638977,0,,1.2521114349365234,,62733.6171875,,31368.05859375,,,52,,,
,,,,,,,,,0.0001599584182647368,9.997505095884209e-05,53,,,
,1.416377305984497,0,,0.9601430296897888,,59851.9140625,,29926.91796875,,,53,,,
,,,,,,,,,0.00015995683449156542,9.997410069493926e-05,54,,,
,1.2880682945251465,0,,0.8084746599197388,,58901.4453125,,29451.529296875,,,54,,,
,,,,,,,,,0.0001599552211266229,9.997313267597375e-05,55,,,
,1.259838581085205,0,,0.7177581787109375,,59029.01953125,,29515.2265625,,,55,,,
,,,,,,,,,0.00015995357817054614,9.997214690232769e-05,56,,,
,1.2510108947753906,0,,0.7382770776748657,,56783.5625,,28392.51953125,,,56,,,
,,,,,,,,,0.0001599519056239837,9.997114337439024e-05,57,,,
,1.2399137020111084,0,,0.8037933707237244,,59173.6640625,,29587.63671875,,,57,,,
,,,,,,,,,0.000159950203487596,9.99701220925576e-05,58,,,
,1.2333576679229736,0,,0.809170126914978,,55951.421875,,27976.51953125,,,58,,,
,,,,,,,,,0.0001599484717620549,9.996908305723296e-05,59,,,
,1.1384892463684082,0,,0.8308030366897583,,69088.171875,,34544.91796875,,,59,,,
,,,,,,,,,0.00015994671044804412,9.996802626882649e-05,60,,,
,1.1773264408111572,0,,0.9466507434844971,,59762.1328125,,29882.01171875,,,60,,,
,,,,,,,,,0.000159944919546259,9.99669517277554e-05,61,,,
,1.0962042808532715,0,,0.8994169235229492,,63706.0625,,31853.9296875,,,61,,,
,,,,,,,,,0.00015994309905740652,9.996585943444391e-05,62,,,
,1.0349078178405762,0,,1.0228009223937988,,56520.8828125,,28261.46484375,,,62,,,
,,,,,,,,,0.0001599412489822054,9.996474938932324e-05,63,,,
,1.0379753112792969,0,,1.1637259721755981,,57730.4609375,,28866.39453125,,,63,,,
,,,,,,,,,0.00015993936932138603,9.99636215928316e-05,64,,,
,0.9392205476760864,0,,1.1272590160369873,,57008.90234375,,28505.578125,,,64,,,
,,,,,,,,,0.00015993746007569043,9.996247604541425e-05,65,,,
,1.0269145965576172,0,,3.868051528930664,,55157.36328125,,27582.55078125,,,65,,,
,,,,,,,,,0.0001599355212458724,9.996131274752342e-05,66,,,
,2.418142080307007,0,,0.1681416928768158,,54787.0625,,27393.69921875,,,66,,,
,,,,,,,,,0.00015993355283269736,9.996013169961839e-05,67,,,
,2.1794586181640625,0,,0.28643614053726196,,54146.671875,,27073.62109375,,,67,,,
,,,,,,,,,0.00015993155483694235,9.995893290216538e-05,68,,,
,1.694460391998291,0,,0.548218309879303,,62245.0546875,,31123.076171875,,,68,,,
,,,,,,,,,0.0001599295272593962,9.99577163556377e-05,69,,,
,1.0445362329483032,0,,1.2326314449310303,,77515.90625,,38759.1875,,,69,,,
,,,,,,,,,0.0001599274701008593,9.995648206051556e-05,70,,,
,1.142620325088501,0,,1.2616164684295654,,63707.640625,,31855.08203125,,,70,,,
,,,,,,,,,0.00015992538336214384,9.995523001728628e-05,71,,,
,1.1877309083938599,0,,0.9896970987319946,,61620.7265625,,30811.3515625,,,71,,,
,,,,,,,,,0.00015992326704407362,9.995396022644414e-05,72,,,
,1.0406556129455566,0,,0.97763592004776,,60923.3515625,,30462.654296875,,,72,,,
,,,,,,,,,0.00015992112114748412,9.995267268849045e-05,73,,,
,1.068310022354126,0,,1.111891508102417,,58987.69140625,,29494.95703125,,,73,,,
,,,,,,,,,0.00015991894567322253,9.99513674039335e-05,74,,,
,1.000162124633789,0,,1.163525104522705,,53419.4140625,,26710.87109375,,,74,,,
,,,,,,,,,0.00015991674062214767,9.995004437328858e-05,75,,,
,0.9718948602676392,0,,1.123298168182373,,55457.6953125,,27729.970703125,,,75,,,
1.3542732000350952,,0,0.8156906962394714,,93752.1953125,,46876.90625,,,,75,,,
,,,,,,,,,0.00015991450599513003,9.994870359707799e-05,76,,,
,0.9282404184341431,1,,1.5266950130462646,,54884.5078125,,27443.78125,,,76,,,
,,,,,,,,,0.0001599122417930519,9.99473450758311e-05,77,,,
,0.9083337783813477,1,,1.2583608627319336,,58046.125,,29024.3203125,,,77,,,
,,,,,,,,,0.00015990994801680708,9.99459688100842e-05,78,,,
,0.7894607186317444,1,,1.355061650276184,,57036.61328125,,28519.66015625,,,78,,,
,,,,,,,,,0.0001599076246673011,9.994457480038062e-05,79,,,
,0.7932453751564026,1,,2.613888740539551,,60225.1875,,30115.20703125,,,79,,,
,,,,,,,,,0.00015990527174545124,9.99431630472707e-05,80,,,
,1.3351213932037354,1,,0.1627528965473175,,56070.6328125,,28035.478515625,,,80,,,
,,,,,,,,,0.00015990288925218633,9.994173355131176e-05,81,,,
,2.009819507598877,1,,0.3774014711380005,,59092.8828125,,29546.8203125,,,81,,,
,,,,,,,,,0.000159900477188447,9.994028631306817e-05,82,,,
,1.5955488681793213,1,,1.2825596332550049,,58162.03125,,29082.296875,,,82,,,
,,,,,,,,,0.00015989803555518548,9.993882133311125e-05,83,,,
,0.8563488721847534,1,,1.8300392627716064,,54062.41015625,,27033.03515625,,,83,,,
,,,,,,,,,0.00015989556435336565,9.993733861201935e-05,84,,,
,0.9398206472396851,1,,1.2514524459838867,,55745.0625,,27873.78125,,,84,,,
,,,,,,,,,0.00015989306358396314,9.993583815037785e-05,85,,,
,0.9309742450714111,1,,1.3454992771148682,,54020.8359375,,27011.765625,,,85,,,
,,,,,,,,,0.00015989053324796522,9.99343199487791e-05,86,,,
,0.7891068458557129,1,,1.5771982669830322,,49078.953125,,24541.0546875,,,86,,,
,,,,,,,,,0.0001598879733463708,9.993278400782245e-05,87,,,
,0.7582614421844482,1,,1.596727967262268,,54435.91796875,,27219.5546875,,,87,,,
,,,,,,,,,0.0001598853838801905,9.993123032811428e-05,88,,,
,0.7240844368934631,1,,2.1774582862854004,,52661.75,,26333.0546875,,,88,,,
,,,,,,,,,0.0001598827648504466,9.992965891026793e-05,89,,,
,0.7333204746246338,1,,1.5935794115066528,,51013.5703125,,25508.37890625,,,89,,,
,,,,,,,,,0.00015988011625817306,9.992806975490381e-05,90,,,
,0.7331781387329102,1,,3.204545736312866,,51875.890625,,25941.150390625,,,90,,,
,,,,,,,,,0.00015987743810441549,9.992646286264927e-05,91,,,
,0.7860350608825684,1,,0.3104352355003357,,53300.3359375,,26650.48046875,,,91,,,
,,,,,,,,,0.00015987473039023116,9.992483823413868e-05,92,,,
,1.8075283765792847,1,,3.621393918991089,,50857.96875,,25432.60546875,,,92,,,
,,,,,,,,,0.0001598719931166891,9.992319587001344e-05,93,,,
,1.9177803993225098,1,,0.8787447810173035,,54370.4375,,27186.09765625,,,93,,,
,,,,,,,,,0.00015986922628486987,9.992153577092191e-05,94,,,
,1.195932388305664,1,,0.9816774129867554,,52773.078125,,26387.521484375,,,94,,,
,,,,,,,,,0.0001598664298958658,9.991985793751948e-05,95,,,
,0.8664230108261108,1,,2.116084575653076,,55608.9375,,27806.583984375,,,95,,,
,,,,,,,,,0.00015986360395078088,9.991816237046853e-05,96,,,
,0.7990000247955322,1,,1.8599739074707031,,52875.9140625,,26439.81640625,,,96,,,
,,,,,,,,,0.00015986074845073073,9.991644907043844e-05,97,,,
,0.7295305728912354,1,,1.6667416095733643,,51741.75,,25872.54296875,,,97,,,
,,,,,,,,,0.00015985786339684264,9.991471803810558e-05,98,,,
