epoch,loss/fwd_nll_step,loss/post_l1_step,loss/rec_step,loss/total_step,lr-Adam,step
,,,,,0.00016,0
0,2.6026227474212646,0.32420027256011963,0.8822418451309204,3.124793767929077,,0
,,,,,0.00016,1
0,2.212995767593384,0.2828458547592163,0.8630916476249695,2.7152528762817383,,1
,,,,,0.00016,2
0,2.3360326290130615,0.31232738494873047,0.8263616561889648,2.8272953033447266,,2
,,,,,0.00016,3
0,2.146399736404419,0.27541565895080566,0.7936421632766724,2.612074613571167,,3
,,,,,0.00016,4
0,2.4144413471221924,0.3047075569629669,0.7439181208610535,2.862577199935913,,4
,,,,,0.00016,5
0,1.838973879814148,0.2328735888004303,0.709678590297699,2.2520315647125244,,5
,,,,,0.00016,6
0,1.8523231744766235,0.24064376950263977,0.6679416298866272,2.246454954147339,,6
,,,,,0.00016,7
0,1.6733680963516235,0.2199644148349762,0.6233899593353271,2.0400540828704834,,7
,,,,,0.00016,8
0,1.5721920728683472,0.20475302636623383,0.5806853175163269,1.9137229919433594,,8
,,,,,0.00016,9
0,1.5708564519882202,0.20355872809886932,0.5530959963798523,1.89829421043396,,9
,,,,,0.00016,10
0,1.444592833518982,0.1887231171131134,0.5339421033859253,1.7587445974349976,,10
,,,,,0.00016,11
0,1.3372870683670044,0.16518305242061615,0.5034899115562439,1.630327820777893,,11
,,,,,0.00016,12
0,1.5167759656906128,0.19136357307434082,0.4737989008426666,1.8015162944793701,,12
,,,,,0.00016,13
0,1.2912737131118774,0.14954395592212677,0.4504336416721344,1.553876519203186,,13
,,,,,0.00016,14
0,1.2682758569717407,0.14410552382469177,0.4266110062599182,1.5176076889038086,,14
,,,,,0.00016,15
0,1.2998504638671875,0.15143983066082,0.4044334590435028,1.5399271249771118,,15
,,,,,0.00016,16
0,1.17868173122406,0.13086342811584473,0.3848724365234375,1.4038338661193848,,16
,,,,,0.00016,17
0,1.249288558959961,0.14145581424236298,0.36812853813171387,1.4687167406082153,,17
,,,,,0.00016,18
0,1.1258560419082642,0.11503646522760391,0.3593134880065918,1.3342719078063965,,18
,,,,,0.00016,19
0,1.1183232069015503,0.1111990213394165,0.3444884717464447,1.3183671236038208,,19
,,,,,0.00016,20
0,1.1076745986938477,0.10979308933019638,0.3209505081176758,1.2955981492996216,,20
,,,,,0.00016,21
0,1.124174952507019,0.11762132495641708,0.32084599137306213,1.314003348350525,,21
,,,,,0.00016,22
0,1.0923384428024292,0.10720878839492798,0.30249181389808655,1.2703865766525269,,22
,,,,,0.00016,23
0,1.1031010150909424,0.10499680042266846,0.29077664017677307,1.2747385501861572,,23
,,,,,0.00016,24
0,1.0644887685775757,0.09926508367061615,0.2835441529750824,1.2310770750045776,,24
,,,,,0.00016,25
0,1.0507595539093018,0.10358136147260666,0.27424898743629456,1.2137794494628906,,25
,,,,,0.00016,26
0,1.0271217823028564,0.08163011819124222,0.2580368220806122,1.1765477657318115,,26
,,,,,0.00016,27
0,1.0528684854507446,0.09289445728063583,0.2562958598136902,1.204240083694458,,27
,,,,,0.00016,28
0,1.0312647819519043,0.09352077543735504,0.25385695695877075,1.1815733909606934,,28
,,,,,0.00016,29
0,1.0265575647354126,0.07830432802438736,0.24269621074199677,1.167481780052185,,29
,,,,,0.00016,30
0,1.007943034172058,0.07508929818868637,0.23384419083595276,1.1436375379562378,,30
,,,,,0.00016,31
0,1.0092556476593018,0.08091021329164505,0.2280939817428589,1.143530249595642,,31
,,,,,0.00016,32
0,0.9879862070083618,0.07655525207519531,0.23023000359535217,1.1222400665283203,,32
,,,,,0.00016,33
0,0.989357590675354,0.07320356369018555,0.22508831322193146,1.120202660560608,,33
,,,,,0.00016,34
0,1.0085864067077637,0.07827790081501007,0.20682843029499054,1.1315701007843018,,34
,,,,,0.00016,35
0,0.9901713728904724,0.07440705597400665,0.21608303487300873,1.1168146133422852,,35
,,,,,0.00016,36
0,0.9804643988609314,0.06740763038396835,0.20280471444129944,1.0987186431884766,,36
,,,,,0.00016,37
