d_loss_epoch,d_loss_step,epoch,g_loss/adv_epoch,g_loss/adv_step,g_loss/rec_epoch,g_loss/rec_step,g_loss/total_epoch,g_loss/total_step,lr-Adam,lr-Adam-1,step,val_loss,val_psnr,val_ssim
,,,,,,,,,0.00016,0.0001,0,,,
,1.388092279434204,0,,0.641700267791748,,250281.125,,125141.203125,,,0,,,
,,,,,,,,,0.00015999998519559389,9.999999111735633e-05,1,,,
,1.3868653774261475,0,,0.8496919870376587,,233430.09375,,116715.90625,,,1,,,
,,,,,,,,,0.0001599999407823814,9.999996446942884e-05,2,,,
,1.4035383462905884,0,,0.6099744439125061,,224994.1875,,112497.703125,,,2,,,
,,,,,,,,,0.00015999986676038005,9.999992005622802e-05,3,,,
,1.389857292175293,0,,0.6581786274909973,,216354.453125,,108177.8828125,,,3,,,
,,,,,,,,,0.00015999976312961906,9.999985787777144e-05,4,,,
,1.3828654289245605,0,,0.7343175411224365,,202216.59375,,101109.03125,,,4,,,
,,,,,,,,,0.0001599996298901394,9.999977793408364e-05,5,,,
,1.382566213607788,0,,0.7043251991271973,,193767.078125,,96884.2421875,,,5,,,
,,,,,,,,,0.00015999946704199356,9.999968022519613e-05,6,,,
,1.379700779914856,0,,0.6713018417358398,,177880.65625,,88941.0,,,6,,,
,,,,,,,,,0.00015999927458524592,9.999956475114756e-05,7,,,
,1.3796169757843018,0,,0.7061468362808228,,158541.90625,,79271.65625,,,7,,,
,,,,,,,,,0.00015999905251997242,9.999943151198346e-05,8,,,
,1.3805248737335205,0,,0.6941654682159424,,139963.0,,69982.1953125,,,8,,,
,,,,,,,,,0.00015999880084626076,9.999928050775646e-05,9,,,
,1.3790276050567627,0,,0.7070175409317017,,133697.65625,,66849.53125,,,9,,,
,,,,,,,,,0.00015999851956421027,9.999911173852616e-05,10,,,
,1.3794068098068237,0,,0.6648889780044556,,113310.953125,,56656.140625,,,10,,,
,,,,,,,,,0.000159998208673932,9.999892520435921e-05,11,,,
,1.3801707029342651,0,,0.8244569301605225,,107102.4453125,,53552.046875,,,11,,,
,,,,,,,,,0.00015999786817554872,9.999872090532923e-05,12,,,
,1.3922220468521118,0,,0.5242504477500916,,97855.453125,,48928.25,,,12,,,
,,,,,,,,,0.0001599974980691948,9.999849884151687e-05,13,,,
,1.4164016246795654,0,,0.7696548700332642,,96971.9375,,48486.73828125,,,13,,,
,,,,,,,,,0.00015999709835501637,9.999825901300981e-05,14,,,
,1.3851392269134521,0,,0.7603501081466675,,88297.34375,,44149.43359375,,,14,,,
,,,,,,,,,0.00015999666903317123,9.999800141990273e-05,15,,,
,1.3830269575119019,0,,0.6855462789535522,,106979.7421875,,53490.5546875,,,15,,,
,,,,,,,,,0.00015999621010382887,9.999772606229732e-05,16,,,
,1.3837530612945557,0,,0.6638467311859131,,94587.359375,,47294.34375,,,16,,,
,,,,,,,,,0.0001599957215671705,9.99974329403023e-05,17,,,
,1.3847935199737549,0,,0.6920573711395264,,84080.75,,42041.0703125,,,17,,,
,,,,,,,,,0.00015999520342338893,9.999712205403336e-05,18,,,
,1.383347749710083,0,,0.7114864587783813,,88546.2890625,,44273.85546875,,,18,,,
,,,,,,,,,0.00015999465567268875,9.999679340361326e-05,19,,,
,1.382590889930725,0,,0.7002425193786621,,85831.5625,,42916.484375,,,19,,,
,,,,,,,,,0.0001599940783152862,9.999644698917173e-05,20,,,
,1.3817286491394043,0,,0.6918544769287109,,84760.359375,,42380.87109375,,,20,,,
,,,,,,,,,0.0001599934713514092,9.999608281084554e-05,21,,,
,1.3821343183517456,0,,0.6967315673828125,,83193.53125,,41597.4609375,,,21,,,
,,,,,,,,,0.0001599928347812974,9.999570086877845e-05,22,,,
,1.3770989179611206,0,,0.6964105367660522,,79953.015625,,39977.203125,,,22,,,
,,,,,,,,,0.00015999216860520206,9.999530116312125e-05,23,,,
,1.3814702033996582,0,,0.7075228095054626,,84404.34375,,42202.8828125,,,23,,,
,,,,,,,,,0.0001599914728233862,9.999488369403173e-05,24,,,
,1.3761444091796875,0,,0.6851550936698914,,79854.984375,,39928.1796875,,,24,,,
,,,,,,,,,0.0001599907474361245,9.999444846167473e-05,25,,,
,1.3737622499465942,0,,0.7162197828292847,,75024.953125,,37513.1953125,,,25,,,
,,,,,,,,,0.00015998999244370337,9.999399546622204e-05,26,,,
,1.3689839839935303,0,,0.7028933763504028,,75231.140625,,37616.2734375,,,26,,,
,,,,,,,,,0.00015998920784642082,9.999352470785251e-05,27,,,
