d_loss_step,epoch,g_loss/adv_step,g_loss/rec_step,g_loss/total_step,lr-Adam,lr-Adam-1,step
,,,,,0.00016,0.0001,0
1.3886287212371826,0,0.6221177577972412,0.8821768760681152,0.4423326849937439,,,0
,,,,,0.00015999998519559389,9.999999111735633e-05,1
1.3918085098266602,0,0.8406637907028198,0.875660240650177,0.44119277596473694,,,1
,,,,,0.0001599999407823814,9.999996446942884e-05,2
1.4051073789596558,0,0.6769858598709106,nan,nan,,,2
,,,,,0.00015999986676038005,9.999992005622802e-05,3
1.3866124153137207,0,0.6373958587646484,nan,nan,,,3
,,,,,0.00015999976312961906,9.999985787777144e-05,4
1.3896143436431885,0,0.6985415816307068,nan,nan,,,4
,,,,,0.0001599996298901394,9.999977793408364e-05,5
1.3863472938537598,0,0.7223210334777832,nan,nan,,,5
,,,,,0.00015999946704199356,9.999968022519613e-05,6
1.3871617317199707,0,0.6911160349845886,nan,nan,,,6
,,,,,0.00015999927458524592,9.999956475114756e-05,7
1.386304497718811,0,0.6785720586776733,nan,nan,,,7
,,,,,0.00015999905251997242,9.999943151198346e-05,8
1.3865180015563965,0,0.6951649785041809,nan,nan,,,8
,,,,,0.00015999880084626076,9.999928050775646e-05,9
1.3863005638122559,0,0.701566755771637,nan,nan,,,9
,,,,,0.00015999851956421027,9.999911173852616e-05,10
1.3863621950149536,0,0.6898478865623474,nan,nan,,,10
,,,,,0.000159998208673932,9.999892520435921e-05,11
1.3863041400909424,0,0.6895908117294312,nan,nan,,,11
,,,,,0.00015999786817554872,9.999872090532923e-05,12
1.3863084316253662,0,0.6968028545379639,nan,nan,,,12
,,,,,0.0001599974980691948,9.999849884151687e-05,13
1.3863080739974976,0,0.6925160884857178,nan,nan,,,13
,,,,,0.00015999709835501637,9.999825901300981e-05,14
1.3862950801849365,0,0.6917871832847595,nan,nan,,,14
,,,,,0.00015999666903317123,9.999800141990273e-05,15
1.3862967491149902,0,0.694993793964386,nan,nan,,,15
,,,,,0.00015999621010382887,9.999772606229732e-05,16
1.3862977027893066,0,0.6919166445732117,nan,nan,,,16
,,,,,0.0001599957215671705,9.99974329403023e-05,17
1.386296033859253,0,0.6938222646713257,nan,nan,,,17
,,,,,0.00015999520342338893,9.999712205403336e-05,18
1.386294960975647,0,0.6927487254142761,nan,nan,,,18
,,,,,0.00015999465567268875,9.999679340361326e-05,19
1.3862946033477783,0,0.6933795809745789,nan,nan,,,19
,,,,,0.0001599940783152862,9.999644698917173e-05,20
