epoch,loss/ck_step,loss/noise_step,loss/post_step,loss/rec_step,loss/total_step,lr-Adam,step
,,,,,,0.00015999998519559389,16031
1,0.0029595023952424526,0.0038949078880250454,0.00441815797239542,0.011906730011105537,0.011544713750481606,,16031
,,,,,,0.00015999998519559389,16032
1,0.0,0.0019394188420847058,0.00386263569816947,0.01206960529088974,0.00893988087773323,,16032
,,,,,,0.00015999998519559389,16033
1,0.0035538896918296814,0.002269239164888859,0.004658907651901245,0.01354481466114521,0.010917151346802711,,16033
,,,,,,0.00015999998519559389,16034
1,0.0,0.001970757031813264,0.004000053275376558,0.013592194765806198,0.009766867384314537,,16034
,,,,,,0.00015999998519559389,16035
1,0.002930637449026108,0.004883718676865101,0.005544842686504126,0.012044558301568031,0.012878336012363434,,16035
,,,,,,0.00015999998519559389,16036
1,0.0,0.0012173084542155266,0.0036624865606427193,0.019304471090435982,0.011785166338086128,,16036
,,,,,,0.00015999998519559389,16037
1,0.0,0.004178500734269619,0.005493244156241417,0.01201997883617878,0.01156180165708065,,16037
,,,,,,0.00015999998519559389,16038
1,0.0033686680253595114,0.000114993097668048,0.0024799543898552656,0.014951348304748535,0.008884388953447342,,16038
,,,,,,0.00015999998519559389,16039
1,0.0,0.002329343231394887,0.0037272311747074127,0.014362191781401634,0.010442247614264488,,16039
,,,,,,0.00015999998519559389,16040
1,0.0,0.0020418015774339437,0.0057280780747532845,0.016550473868846893,0.011749057099223137,,16040
,,,,,,0.00015999998519559389,16041
1,0.0,0.003007980063557625,0.004221734590828419,0.010396546684205532,0.00926168728619814,,16041
,,,,,,0.00015999998519559389,16042
1,0.0,0.005046227481216192,0.0063814157620072365,0.013136614114046097,0.013209888711571693,,16042
,,,,,,0.00015999998519559389,16043
1,0.0,0.0030689279083162546,0.004969407804310322,0.011316519230604172,0.009969539940357208,,16043
,,,,,,0.00015999998519559389,16044
1,0.0035740630701184273,0.0016702271532267332,0.004008397459983826,0.01477095764130354,0.010772617533802986,,16044
,,,,,,0.00015999998519559389,16045
1,0.0,0.002046674257144332,0.004174119792878628,0.010960143059492111,0.008570275269448757,,16045
,,,,,,0.00015999998519559389,16046
1,0.0,0.0014290522085502744,0.004128003492951393,0.018715128302574158,0.011818617582321167,,16046
,,,,,,0.00015999998519559389,16047
1,0.004660218488425016,0.0015154469292610884,0.004089531488716602,0.016072548925876617,0.011506147682666779,,16047
,,,,,,0.00015999998519559389,16048
1,0.0,0.0011586917098611593,0.004230473190546036,0.0150919109582901,0.009762265719473362,,16048
,,,,,,0.00015999998519559389,16049
1,0.004422463476657867,0.0018644456285983324,0.004931846633553505,0.014063888229429722,0.011013844050467014,,16049
,,,,,,0.00015999998519559389,16050
1,0.003962105140089989,0.0024215150624513626,0.005233851261436939,0.01825919933617115,0.013651998713612556,,16050
,,,,,,0.00015999998519559389,16051
1,0.00262561347335577,0.0002524716837797314,0.0027905255556106567,0.013728082180023193,0.00833926722407341,,16051
,,,,,,0.00015999998519559389,16052
1,0.0,0.005720720626413822,0.006910732015967369,0.02254529297351837,0.018721051514148712,,16052
,,,,,,0.00015999998519559389,16053
1,0.002907256130129099,0.0038979423698037863,0.004730353131890297,0.009368540719151497,0.010346252471208572,,16053
,,,,,,0.00015999998519559389,16054
1,0.004108642693608999,0.0002974843664560467,0.003322035539895296,0.017167583107948303,0.010533513501286507,,16054
,,,,,,0.00015999998519559389,16055
1,0.00487399660050869,0.0007610299508087337,0.004322933033108711,0.02394852787256241,0.014790825545787811,,16055
,,,,,,0.00015999998519559389,16056
1,0.004742627963423729,0.0012700078077614307,0.00420796126127243,0.018573783338069916,0.012557415291666985,,16056
,,,,,,0.00015999998519559389,16057
1,0.0,0.003978091292083263,0.005543699953705072,0.014848984777927399,0.012788509018719196,,16057
,,,,,,0.00015999998519559389,16058
1,0.003713697660714388,0.002496780827641487,0.004722043871879578,0.013970199972391129,0.011405130848288536,,16058
,,,,,,0.00015999998519559389,16059
1,0.0,0.0002615004195831716,0.0022436617873609066,0.014770974405109882,0.008207903243601322,,16059
,,,,,,0.00015999998519559389,16060
1,0.004460589028894901,0.0002020148967858404,0.0030133239924907684,0.017464134842157364,0.010579530149698257,,16060
,,,,,,0.00015999998519559389,16061
1,0.0,0.0011888202279806137,0.002176927635446191,0.01179087907075882,0.00762849161401391,,16061
,,,,,,0.00015999998519559389,16062
1,0.0,0.002046828158199787,0.004329933784902096,0.016856517642736435,0.011557571589946747,,16062
,,,,,,0.00015999998519559389,16063
1,0.0036001575645059347,0.0028945542871952057,0.00436503067612648,0.0112623181194067,0.010337002575397491,,16063
,,,,,,0.00015999998519559389,16064
1,0.0,0.007259130943566561,0.008537519723176956,0.01545387040823698,0.017120445147156715,,16064
,,,,,,0.00015999998519559389,16065
1,0.0,0.0013251211494207382,0.005708891898393631,0.02156415954232216,0.013534423895180225,,16065
,,,,,,0.00015999998519559389,16066
1,0.0,0.004924886394292116,0.005759102758020163,0.012403212487697601,0.01256626844406128,,16066
