slice,iou
slice_14198.npy,0.000000
slice_11112.npy,0.232365
slice_3347.npy,0.843343
slice_11110.npy,0.853671
slice_3340.npy,0.966912
slice_3339.npy,0.969624
slice_10431.npy,0.971711
slice_8116.npy,0.974972
slice_120.npy,0.984000
slice_14314.npy,0.986201
slice_8351.npy,0.986376
slice_12827.npy,0.986622
slice_14951.npy,0.987573
slice_999.npy,0.987613
slice_4509.npy,0.988055
slice_11219.npy,0.989016
slice_13741.npy,0.989247
slice_11621.npy,0.989324
slice_13970.npy,0.989831
slice_1001.npy,0.990076
slice_13798.npy,0.990679
slice_935.npy,0.990706
slice_10087.npy,0.991037
slice_4514.npy,0.991270
slice_14956.npy,0.991291
slice_12938.npy,0.991357
slice_14890.npy,0.991411
slice_9735.npy,0.991477
slice_10430.npy,0.991498
slice_1158.npy,0.991597
slice_1035.npy,0.991935
slice_1216.npy,0.991988
slice_5168.npy,0.992038
slice_2191.npy,0.992136
slice_14895.npy,0.992138
slice_13754.npy,0.992276
slice_8586.npy,0.992313
slice_4736.npy,0.992323
slice_5091.npy,0.992366
slice_6955.npy,0.992405
slice_10192.npy,0.992453
slice_11626.npy,0.992535
slice_13052.npy,0.992553
slice_14657.npy,0.992554
slice_12861.npy,0.992593
slice_1042.npy,0.992725
slice_8109.npy,0.992727
slice_12132.npy,0.992765
slice_11447.npy,0.992777
slice_9162.npy,0.992780
slice_3704.npy,0.992843
slice_2772.npy,0.992851
slice_12899.npy,0.992872
slice_1154.npy,0.992925
slice_14142.npy,0.992996
slice_3892.npy,0.993026
slice_3888.npy,0.993037
slice_4634.npy,0.993043
slice_937.npy,0.993117
slice_13511.npy,0.993153
slice_14152.npy,0.993333
slice_6382.npy,0.993411
slice_364.npy,0.993444
slice_9270.npy,0.993457
slice_936.npy,0.993478
slice_471.npy,0.993485
slice_2135.npy,0.993529
slice_8294.npy,0.993568
slice_9854.npy,0.993569
slice_14545.npy,0.993569
slice_2318.npy,0.993617
slice_3470.npy,0.993654
slice_9508.npy,0.993655
slice_3469.npy,0.993659
slice_11845.npy,0.993661
slice_12477.npy,0.993724
slice_8301.npy,0.993740
slice_12139.npy,0.993782
slice_3893.npy,0.993791
slice_8127.npy,0.993880
slice_706.npy,0.993889
slice_10615.npy,0.993912
slice_9175.npy,0.993928
slice_8585.npy,0.993943
slice_7650.npy,0.993966
slice_7753.npy,0.993976
slice_9163.npy,0.994004
slice_3877.npy,0.994005
slice_178.npy,0.994023
slice_1899.npy,0.994110
slice_14946.npy,0.994134
slice_2603.npy,0.994135
slice_6029.npy,0.994141
slice_2117.npy,0.994172
slice_5172.npy,0.994213
slice_223.npy,0.994266
slice_9686.npy,0.994270
slice_14756.npy,0.994272
slice_10041.npy,0.994314
slice_6031.npy,0.994321
slice_9689.npy,0.994340
slice_5165.npy,0.994340
slice_938.npy,0.994345
slice_9690.npy,0.994365
slice_7417.npy,0.994382
slice_3649.npy,0.994434
slice_8581.npy,0.994444
slice_7759.npy,0.994461
slice_4632.npy,0.994465
slice_14933.npy,0.994484
slice_1902.npy,0.994485
slice_4566.npy,0.994495
slice_10196.npy,0.994515
slice_11449.npy,0.994565
slice_6263.npy,0.994580
slice_12137.npy,0.994595
slice_12141.npy,0.994595
slice_11100.npy,0.994635
slice_14759.npy,0.994635
slice_1605.npy,0.994639
slice_6146.npy,0.994658
slice_13646.npy,0.994681
slice_14835.npy,0.994681
slice_1592.npy,0.994685
slice_11663.npy,0.994698
slice_994.npy,0.994699
slice_12850.npy,0.994709
slice_2889.npy,0.994713
slice_222.npy,0.994743
slice_4224.npy,0.994746
slice_13575.npy,0.994746
slice_3332.npy,0.994753
slice_6448.npy,0.994760
slice_12019.npy,0.994784
slice_3466.npy,0.994796
slice_10880.npy,0.994805
slice_9273.npy,0.994808
slice_13633.npy,0.994845
slice_6733.npy,0.994848
slice_13578.npy,0.994882
slice_812.npy,0.994886
slice_11572.npy,0.994894
slice_10159.npy,0.994898
slice_2116.npy,0.994916
slice_6831.npy,0.994924
slice_14963.npy,0.994924
slice_3779.npy,0.994935
slice_11343.npy,0.994939
slice_15220.npy,0.994946
slice_1953.npy,0.994948
slice_11586.npy,0.994948
slice_12903.npy,0.994962
slice_8419.npy,0.994965
slice_2119.npy,0.994971
slice_3936.npy,0.994977
slice_838.npy,0.994998
