d_loss_epoch,d_loss_step,epoch,g_loss/adv_epoch,g_loss/adv_step,g_loss/rec_epoch,g_loss/rec_step,g_loss/total_epoch,g_loss/total_step,lr-Adam,lr-Adam-1,step,val_loss,val_psnr,val_ssim
,,,,,,,,,0.00016,0.0001,0,,,
,1.388756275177002,0,,0.625115692615509,,361033.9375,,180517.59375,,,0,,,
,,,,,,,,,0.00015999998519559389,9.999999111735633e-05,1,,,
,1.3889521360397339,0,,0.8333384394645691,,352570.75,,176286.203125,,,1,,,
,,,,,,,,,0.0001599999407823814,9.999996446942884e-05,2,,,
,1.3995424509048462,0,,0.6548397541046143,,340288.6875,,170145.0,,,2,,,
,,,,,,,,,0.00015999986676038005,9.999992005622802e-05,3,,,
,1.3820279836654663,0,,0.6582409739494324,,325856.40625,,162928.859375,,,3,,,
,,,,,,,,,0.00015999976312961906,9.999985787777144e-05,4,,,
,1.3802886009216309,0,,0.7321319580078125,,305600.375,,152800.921875,,,4,,,
,,,,,,,,,0.0001599996298901394,9.999977793408364e-05,5,,,
,1.378509759902954,0,,0.6752105355262756,,286889.75,,143445.546875,,,5,,,
,,,,,,,,,0.00015999946704199356,9.999968022519613e-05,6,,,
,1.3750531673431396,0,,0.7046781778335571,,269675.75,,134838.578125,,,6,,,
,,,,,,,,,0.00015999927458524592,9.999956475114756e-05,7,,,
,1.3695372343063354,0,,0.6999185085296631,,250002.59375,,125002.0,,,7,,,
,,,,,,,,,0.00015999905251997242,9.999943151198346e-05,8,,,
,1.3636136054992676,0,,0.7382186651229858,,237122.125,,118561.796875,,,8,,,
,,,,,,,,,0.00015999880084626076,9.999928050775646e-05,9,,,
,1.353801965713501,0,,0.5258451104164124,,217865.15625,,108933.1015625,,,9,,,
,,,,,,,,,0.00015999851956421027,9.999911173852616e-05,10,,,
,1.3911212682724,0,,1.2198739051818848,,204412.6875,,102207.5625,,,10,,,
,,,,,,,,,0.000159998208673932,9.999892520435921e-05,11,,,
