d_loss_epoch,d_loss_step,epoch,g_loss/adv_epoch,g_loss/adv_step,g_loss/rec_epoch,g_loss/rec_step,g_loss/total_epoch,g_loss/total_step,lr-Adam,lr-Adam-1,step
,,,,,,,,,0.00016,0.0001,0
,1.3876956701278687,0,,0.6505445241928101,,261988.890625,,130995.09375,,,0
,,,,,,,,,0.00015985200463212038,9.991120277927223e-05,1
,1.3865594863891602,0,,0.8390753269195557,,253107.125,,126554.40625,,,1
,,,,,,,,,0.00015940860259858587,9.964516155915151e-05,2
,1.4015711545944214,0,,0.6010098457336426,,245695.109375,,122848.15625,,,2
,,,,,,,,,0.00015867154380465169,9.920292628279099e-05,3
,1.3925317525863647,0,,0.6697982549667358,,231023.359375,,115512.3515625,,,3
,,,,,,,,,0.00015764373708464734,9.85862422507884e-05,4
,1.383226990699768,0,,0.740096926689148,,222203.53125,,111102.5,,,4
,,,,,,,,,0.00015632923872213654,9.779754323328191e-05,5
,1.3842980861663818,0,,0.7057755589485168,,208482.203125,,104241.8046875,,,5
,,,,,,,,,0.00015473323644161889,9.683994186497131e-05,6
,1.382187008857727,0,,0.6719919443130493,,192676.6875,,96339.015625,,,6
,,,,,,,,,0.00015286202893495152,9.571721736097089e-05,7
,1.3821799755096436,0,,0.6960043907165527,,176131.34375,,88066.359375,,,7
,,,,,,,,,0.0001507230010032898,9.443380060197386e-05,8
,1.381935715675354,0,,0.7051434516906738,,168066.171875,,84033.7890625,,,8
,,,,,,,,,0.00014832459441265118,9.299475664759068e-05,9
,1.3803908824920654,0,,0.6813023090362549,,160163.59375,,80082.484375,,,9
,,,,,,,,,0.0001456762745781211,9.140576474687264e-05,10
,1.3802722692489624,0,,0.7079266309738159,,148525.671875,,74263.546875,,,10
,,,,,,,,,0.00014278849320818423,8.967309592491052e-05,11
,1.3811358213424683,0,,0.6837283372879028,,141799.625,,70900.5,,,11
,,,,,,,,,0.0001396726470566059,8.780358823396352e-05,12
,1.3779851198196411,0,,0.7428147792816162,,134422.3125,,67211.90625,,,12
,,,,,,,,,0.00013634103294465167,8.5804619766791e-05,13
,1.3787620067596436,0,,0.5810932517051697,,126099.125,,63050.140625,,,13
,,,,,,,,,0.00013280679923115173,8.368407953869104e-05,14
,1.394845724105835,0,,0.8840831518173218,,120903.5,,60452.6328125,,,14
,,,,,,,,,0.00012908389392193552,8.145033635316131e-05,15
,1.4067890644073486,0,,0.6842813491821289,,119653.328125,,59827.34765625,,,15
,,,,,,,,,0.00012518700962342477,7.911220577405486e-05,16
,1.3811566829681396,0,,0.622461199760437,,109475.609375,,54738.4296875,,,16
,,,,,,,,,0.00012113152555762867,7.66789153345772e-05,17
,1.386581540107727,0,,0.6913766264915466,,109808.3359375,,54904.859375,,,17
,,,,,,,,,0.00011693344686738047,7.416006812042828e-05,18
,1.380101203918457,0,,0.723869264125824,,105034.046875,,52517.75,,,18
,,,,,,,,,0.00011260934145135088,7.156560487081053e-05,19
,1.3818371295928955,0,,0.7072550058364868,,101474.859375,,50738.140625,,,19
,,,,,,,,,0.00010817627457812108,6.890576474687264e-05,20
,1.3803843259811401,0,,0.6798005104064941,,97021.1484375,,48511.25390625,,,20
,,,,,,,,,0.00010365174153736412,6.619104492241848e-05,21
,1.3787847757339478,0,,0.6875016093254089,,95505.90625,,47753.640625,,,21
,,,,,,,,,9.905359859392938e-05,6.343215915635763e-05,22
,1.3818833827972412,0,,0.7141251564025879,,94061.671875,,47031.55078125,,,22
,,,,,,,,,9.439999251732286e-05,6.063999551039372e-05,23
,1.3772573471069336,0,,0.6982719898223877,,94128.6015625,,47065.0,,,23
,,,,,,,,,8.970928896469853e-05,5.7825573378819125e-05,24
,1.3763716220855713,0,,0.6818434000015259,,91496.140625,,45748.75390625,,,24
,,,,,,,,,8.500000000000002e-05,5.5000000000000016e-05,25
,1.3771309852600098,0,,0.7177091836929321,,84534.3359375,,42267.88671875,,,25
,,,,,,,,,8.029071103530151e-05,5.217442662118091e-05,26
,1.37251877784729,0,,0.6568447351455688,,81604.3359375,,40802.82421875,,,26
,,,,,,,,,7.560000748267719e-05,4.936000448960633e-05,27
,1.3856642246246338,0,,0.7630491256713867,,89954.9140625,,44978.21875,,,27
,,,,,,,,,7.094640140607066e-05,4.6567840843642404e-05,28
,1.3708717823028564,0,,0.651543915271759,,86070.578125,,43035.94140625,,,28
,,,,,,,,,6.63482584626359e-05,4.380895507758155e-05,29
,1.3715041875839233,0,,0.6961997747421265,,83565.4375,,41783.4140625,,,29
,,,,,,,,,6.182372542187899e-05,4.109423525312739e-05,30
,1.3668534755706787,0,,0.746309757232666,,80324.5,,40162.9921875,,,30
,,,,,,,,,5.739065854864919e-05,3.843439512918952e-05,31
,1.3679770231246948,0,,0.6802616119384766,,77514.859375,,38758.109375,,,31
,,,,,,,,,5.3066553132619565e-05,3.5839931879571745e-05,32
,1.3627753257751465,0,,0.7300305366516113,,75663.125,,37832.296875,,,32
,,,,,,,,,4.8868474442371356e-05,3.332108466542282e-05,33
,1.361220359802246,0,,0.7035646438598633,,77024.4296875,,38512.91796875,,,33
,,,,,,,,,4.481299037657525e-05,3.0887794225945154e-05,34
