epoch,loss/ck_epoch,loss/ck_step,loss/noise_epoch,loss/noise_step,loss/post_epoch,loss/post_step,loss/rec_epoch,loss/rec_step,loss/total_epoch,loss/total_step,lr-Adam,step,val_loss,val_psnr,val_ssim
,,,,,,,,,,,0.00015999666903317123,12675,,,
15,,0.0019416699651628733,,0.00315895420499146,,0.004882980138063431,,0.013528214767575264,,0.011532140895724297,,12675,,,
,,,,,,,,,,,0.00015999666903317123,12676,,,
15,,0.0,,0.0030363677069544792,,0.004847850650548935,,0.013950183987617493,,0.011223423294723034,,12676,,,
,,,,,,,,,,,0.00015999666903317123,12677,,,
15,,0.0019361774902790785,,0.0022548993583768606,,0.003781577106565237,,0.012772267684340477,,0.009973662905395031,,12677,,,
,,,,,,,,,,,0.00015999666903317123,12678,,,
15,,0.0,,0.0035366774536669254,,0.0051130265928804874,,0.013393228873610497,,0.011511548422276974,,12678,,,
,,,,,,,,,,,0.00015999666903317123,12679,,,
15,,0.0021606027148663998,,0.003323534969240427,,0.004941453225910664,,0.014292840845882893,,0.012137439101934433,,12679,,,
,,,,,,,,,,,0.00015999666903317123,12680,,,
15,,0.0,,0.004210432060062885,,0.005476048216223717,,0.013430004939436913,,0.012294447049498558,,12680,,,
,,,,,,,,,,,0.00015999666903317123,12681,,,
15,,0.0,,0.0020979081746190786,,0.004224881064146757,,0.014575740322470665,,0.010441998019814491,,12681,,,
,,,,,,,,,,,0.00015999666903317123,12682,,,
15,,0.0024065994657576084,,0.002761475509032607,,0.004508793354034424,,0.013803877867758274,,0.01127193309366703,,12682,,,
,,,,,,,,,,,0.00015999666903317123,12683,,,
15,,0.0,,0.0029513640329241753,,0.004870000295341015,,0.01441274955868721,,0.011375239118933678,,12683,,,
,,,,,,,,,,,0.00015999666903317123,12684,,,
15,,0.0,,0.0034634177573025227,,0.005332867614924908,,0.014679853804409504,,0.012136561796069145,,12684,,,
,,,,,,,,,,,0.00015999666903317123,12685,,,
15,,0.0,,0.0034444285556674004,,0.005105345509946346,,0.013788212090730667,,0.01161487028002739,,12685,,,
,,,,,,,,,,,0.00015999666903317123,12686,,,
15,,0.0,,0.0022720787674188614,,0.004014584235846996,,0.013311834074556828,,0.009931642562150955,,12686,,,
,,,,,,,,,,,0.00015999666903317123,12687,,,
15,,0.0,,0.0026336628943681717,,0.004453813657164574,,0.013695595785975456,,0.010594913735985756,,12687,,,
,,,,,,,,,,,0.00015999666903317123,12688,,,
15,,0.002587308641523123,,0.0037618689239025116,,0.005418487824499607,,0.014078279957175255,,0.012673093006014824,,12688,,,
,,,,,,,,,,,0.00015999666903317123,12689,,,
15,,0.0,,0.004274396225810051,,0.005379435606300831,,0.013901076279580593,,0.012569793500006199,,12689,,,
