d_loss_epoch,d_loss_step,epoch,g_loss/adv_epoch,g_loss/adv_step,g_loss/rec_epoch,g_loss/rec_step,g_loss/total_epoch,g_loss/total_step,lr-Adam,lr-Adam-1,step
,,,,,,,,,0.00016,0.0001,0
,1.5177363157272339,0,,9.589876259319045e-29,,361702.3125,,180851.15625,,,0
,,,,,,,,,0.00015985200463212038,9.991120277927223e-05,1
,67.40365600585938,0,,13.986614227294922,,343745.1875,,171886.5625,,,1
,,,,,,,,,0.00015940860259858587,9.964516155915151e-05,2
,12.994439125061035,0,,4.2707992697899044e-10,,335477.84375,,167738.921875,,,2
,,,,,,,,,0.00015867154380465169,9.920292628279099e-05,3
,20.41102409362793,0,,1.950652837753296,,313449.375,,156726.625,,,3
,,,,,,,,,0.00015764373708464734,9.85862422507884e-05,4
,1.7866644859313965,0,,5.1724934577941895,,301486.625,,150748.46875,,,4
,,,,,,,,,0.00015632923872213654,9.779754323328191e-05,5
,3.981616735458374,0,,4.129948592890287e-06,,287616.3125,,143808.15625,,,5
,,,,,,,,,0.00015473323644161889,9.683994186497131e-05,6
,12.427237510681152,0,,0.5623046159744263,,256500.6875,,128250.90625,,,6
,,,,,,,,,0.00015286202893495152,9.571721736097089e-05,7
,2.8818182945251465,0,,11.893852233886719,,250754.625,,125389.203125,,,7
,,,,,,,,,0.0001507230010032898,9.443380060197386e-05,8
,11.047370910644531,0,,1.1773135662078857,,232577.8125,,116290.09375,,,8
,,,,,,,,,0.00014832459441265118,9.299475664759068e-05,9
,1.7908060550689697,0,,8.560977221350186e-06,,216669.203125,,108334.6015625,,,9
,,,,,,,,,0.0001456762745781211,9.140576474687264e-05,10
,12.171150207519531,0,,0.341127872467041,,197822.328125,,98911.5,,,10
,,,,,,,,,0.00014278849320818423,8.967309592491052e-05,11
,1.9880280494689941,0,,9.355592727661133,,180707.28125,,90362.9921875,,,11
,,,,,,,,,0.0001396726470566059,8.780358823396352e-05,12
,9.209423065185547,0,,0.38281136751174927,,169496.09375,,84748.4375,,,12
,,,,,,,,,0.00013634103294465167,8.5804619766791e-05,13
,2.6586949825286865,0,,1.1843461990356445,,166185.859375,,83094.109375,,,13
,,,,,,,,,0.00013280679923115173,8.368407953869104e-05,14
,1.9028871059417725,0,,1.6048942804336548,,153861.375,,76932.296875,,,14
,,,,,,,,,0.00012908389392193552,8.145033635316131e-05,15
,1.9982576370239258,0,,0.00341392052359879,,151002.953125,,75501.4765625,,,15
,,,,,,,,,0.00012518700962342477,7.911220577405486e-05,16
,4.8806047439575195,0,,1.6760634183883667,,134158.625,,67080.984375,,,16
,,,,,,,,,0.00012113152555762867,7.66789153345772e-05,17
,2.3451735973358154,0,,0.29611125588417053,,127620.671875,,63810.6328125,,,17
