d_loss_epoch,d_loss_step,epoch,g_loss/adv_epoch,g_loss/adv_step,g_loss/rec_epoch,g_loss/rec_step,g_loss/total_epoch,g_loss/total_step,lr-Adam,lr-Adam-1,step,val_loss,val_psnr,val_ssim
,,,,,,,,,0.00016,0.0001,0,,,
,1.3888660669326782,0,,0.6305162310600281,,361678.1875,,180839.71875,,,0,,,
,,,,,,,,,0.00015999998519559389,9.999999111735633e-05,1,,,
,1.3879536390304565,0,,0.820263683795929,,353884.21875,,176942.9375,,,1,,,
,,,,,,,,,0.0001599999407823814,9.999996446942884e-05,2,,,
,1.3962669372558594,0,,0.6471883058547974,,339638.6875,,169819.984375,,,2,,,
,,,,,,,,,0.00015999986676038005,9.999992005622802e-05,3,,,
,1.38316011428833,0,,0.6590325832366943,,322362.5625,,161181.9375,,,3,,,
,,,,,,,,,0.00015999976312961906,9.999985787777144e-05,4,,,
,1.3802226781845093,0,,0.7360395193099976,,304654.4375,,152327.9375,,,4,,,
,,,,,,,,,0.0001599996298901394,9.999977793408364e-05,5,,,
,1.3778696060180664,0,,0.6751627922058105,,288803.1875,,144402.28125,,,5,,,
,,,,,,,,,0.00015999946704199356,9.999968022519613e-05,6,,,
,1.373788595199585,0,,0.6933479905128479,,267504.96875,,133753.171875,,,6,,,
,,,,,,,,,0.00015999927458524592,9.999956475114756e-05,7,,,
,1.368042230606079,0,,0.7126810550689697,,252660.984375,,126331.203125,,,7,,,
,,,,,,,,,0.00015999905251997242,9.999943151198346e-05,8,,,
,1.3646304607391357,0,,0.6583482623100281,,235350.59375,,117675.953125,,,8,,,
,,,,,,,,,0.00015999880084626076,9.999928050775646e-05,9,,,
,1.358459234237671,0,,1.0193824768066406,,217443.0625,,108722.546875,,,9,,,
,,,,,,,,,0.00015999851956421027,9.999911173852616e-05,10,,,
,1.4152297973632812,0,,0.4335327744483948,,203790.78125,,101895.828125,,,10,,,
,,,,,,,,,0.000159998208673932,9.999892520435921e-05,11,,,
,1.4512901306152344,0,,0.7014898657798767,,188278.609375,,94140.0078125,,,11,,,
,,,,,,,,,0.00015999786817554872,9.999872090532923e-05,12,,,
,1.3487952947616577,0,,0.8561807870864868,,177731.390625,,88866.546875,,,12,,,
,,,,,,,,,0.0001599974980691948,9.999849884151687e-05,13,,,
,1.3733184337615967,0,,0.7633635997772217,,164271.625,,82136.578125,,,13,,,
,,,,,,,,,0.00015999709835501637,9.999825901300981e-05,14,,,
,1.3612234592437744,0,,0.6581235527992249,,155005.453125,,77503.390625,,,14,,,
,,,,,,,,,0.00015999666903317123,9.999800141990273e-05,15,,,
,1.3575634956359863,0,,0.6821831464767456,,147826.921875,,73914.140625,,,15,,,
,,,,,,,,,0.00015999621010382887,9.999772606229732e-05,16,,,
,1.35335111618042,0,,0.7703974843025208,,137510.625,,68756.0859375,,,16,,,
,,,,,,,,,0.0001599957215671705,9.99974329403023e-05,17,,,
,1.3512701988220215,0,,0.7058287858963013,,130443.609375,,65222.51171875,,,17,,,
,,,,,,,,,0.00015999520342338893,9.999712205403336e-05,18,,,
,1.3466212749481201,0,,0.7024945020675659,,120606.5546875,,60303.98046875,,,18,,,
,,,,,,,,,0.00015999465567268875,9.999679340361326e-05,19,,,
,1.342130422592163,0,,0.84958815574646,,114642.734375,,57322.21875,,,19,,,
,,,,,,,,,0.0001599940783152862,9.999644698917173e-05,20,,,
,1.348832607269287,0,,0.4049961566925049,,106336.078125,,53168.4453125,,,20,,,
,,,,,,,,,0.0001599934713514092,9.999608281084554e-05,21,,,
,1.471926212310791,0,,1.0494110584259033,,101975.96875,,50989.03515625,,,21,,,
,,,,,,,,,0.0001599928347812974,9.999570086877845e-05,22,,,
,1.4148023128509521,0,,0.7551604509353638,,94868.65625,,47435.0859375,,,22,,,
,,,,,,,,,0.00015999216860520206,9.999530116312125e-05,23,,,
,1.356372356414795,0,,0.6387991905212402,,90091.0234375,,45046.1484375,,,23,,,
,,,,,,,,,0.0001599914728233862,9.999488369403173e-05,24,,,
,1.3585149049758911,0,,0.6718249917030334,,88323.953125,,44162.6484375,,,24,,,
,,,,,,,,,0.0001599907474361245,9.999444846167473e-05,25,,,
,1.3601512908935547,0,,0.7694680690765381,,80378.3359375,,40189.9375,,,25,,,
,,,,,,,,,0.00015998999244370337,9.999399546622204e-05,26,,,
,1.3550922870635986,0,,0.758251428604126,,77884.3125,,38942.9140625,,,26,,,
,,,,,,,,,0.00015998920784642082,9.999352470785251e-05,27,,,
,1.3530067205429077,0,,0.6825748682022095,,74252.140625,,37126.75,,,27,,,
,,,,,,,,,0.0001599883936445866,9.999303618675199e-05,28,,,
,1.3527674674987793,0,,0.7425616979598999,,70610.546875,,35306.015625,,,28,,,
,,,,,,,,,0.00015998754983852218,9.999252990311333e-05,29,,,
,1.3446379899978638,0,,0.7196159958839417,,70565.0078125,,35283.2265625,,,29,,,
,,,,,,,,,0.00015998667642856063,9.99920058571364e-05,30,,,
,1.3470675945281982,0,,0.8305261135101318,,65317.71875,,32659.689453125,,,30,,,
,,,,,,,,,0.0001599857734150468,9.99914640490281e-05,31,,,
,1.3479220867156982,0,,0.5091511607170105,,61971.78125,,30986.400390625,,,31,,,
,,,,,,,,,0.00015998484079833718,9.999090447900233e-05,32,,,
,1.3976490497589111,0,,1.1585328578948975,,58816.60546875,,29409.4609375,,,32,,,
,,,,,,,,,0.00015998387857879995,9.999032714727998e-05,33,,,
,1.4596824645996094,0,,0.6492547988891602,,57438.015625,,28719.65625,,,33,,,
,,,,,,,,,0.00015998288675681498,9.9989732054089e-05,34,,,
,1.342609167098999,0,,0.6021775007247925,,56284.48046875,,28142.84375,,,34,,,
,,,,,,,,,0.0001599818653327738,9.99891191996643e-05,35,,,
,1.3762513399124146,0,,0.7676553130149841,,53423.66015625,,26712.59765625,,,35,,,
,,,,,,,,,0.00015998081430707963,9.99884885842478e-05,36,,,
,1.3577241897583008,0,,0.7726312875747681,,51394.4296875,,25697.98828125,,,36,,,
,,,,,,,,,0.00015997973368014749,9.99878402080885e-05,37,,,
,1.3591567277908325,0,,0.6500198841094971,,48350.1015625,,24175.69921875,,,37,,,
,,,,,,,,,0.00015997862345240393,9.998717407144236e-05,38,,,
,1.3629863262176514,0,,0.7344484925270081,,47749.50390625,,23875.486328125,,,38,,,
,,,,,,,,,0.00015997748362428727,9.998649017457236e-05,39,,,
,1.348546028137207,0,,0.7335233688354492,,47291.6953125,,23646.58203125,,,39,,,
,,,,,,,,,0.00015997631419624748,9.998578851774849e-05,40,,,
,1.3475401401519775,0,,0.7049092054367065,,44629.64453125,,22315.52734375,,,40,,,
,,,,,,,,,0.00015997511516874623,9.998506910124774e-05,41,,,
,1.3331925868988037,0,,0.7444191575050354,,42788.3984375,,21394.9453125,,,41,,,
,,,,,,,,,0.0001599738865422569,9.998433192535414e-05,42,,,
,1.3380866050720215,0,,0.702143669128418,,41569.98828125,,20785.6953125,,,42,,,
,,,,,,,,,0.00015997262831726452,9.998357699035873e-05,43,,,
,1.3035486936569214,0,,0.8616482019424438,,40960.203125,,20480.96484375,,,43,,,
,,,,,,,,,0.00015997134049426583,9.998280429655951e-05,44,,,
,1.3358502388000488,0,,0.3436914086341858,,41098.9375,,20549.8125,,,44,,,
,,,,,,,,,0.00015997002307376922,9.998201384426153e-05,45,,,
,1.526613712310791,0,,1.5602205991744995,,40058.9609375,,20031.0390625,,,45,,,
