epoch,loss/ck_step,loss/noise_step,loss/post_step,loss/rec_step,loss/total_step,lr-Adam,step
,,,,,,0.0001599996298901394,80155
5,0.0017787226242944598,0.0015082278987392783,0.002921749372035265,0.011798469349741936,0.008493644185364246,,80155
,,,,,,0.0001599996298901394,80156
5,0.0,0.0018189018592238426,0.002942644990980625,0.011391418054699898,0.008250271901488304,,80156
,,,,,,0.0001599996298901394,80157
5,0.0019024212379008532,0.0020343658979982138,0.0034313183277845383,0.010413755662739277,0.008479557931423187,,80157
,,,,,,0.0001599996298901394,80158
5,0.0,0.001998246880248189,0.0037407998461276293,0.012017855420708656,0.00894237495958805,,80158
,,,,,,0.0001599996298901394,80159
5,0.002201635856181383,0.0050736842676997185,0.005929242353886366,0.009493699297308922,0.011743171140551567,,80159
,,,,,,0.0001599996298901394,80160
5,0.0,0.000875292404089123,0.003006718819960952,0.014539242722094059,0.008896593004465103,,80160
,,,,,,0.0001599996298901394,80161
5,0.0,0.004503794014453888,0.005347794853150845,0.010242462158203125,0.010961974039673805,,80161
,,,,,,0.0001599996298901394,80162
5,0.0036794019397348166,0.00015860024723224342,0.0030950570944696665,0.017861396074295044,0.010598942637443542,,80162
,,,,,,0.0001599996298901394,80163
5,0.0,0.0020459694787859917,0.0033656125888228416,0.010818203911185265,0.008296474814414978,,80163
,,,,,,0.0001599996298901394,80164
5,0.0,0.0020224968902766705,0.004249177873134613,0.012493554502725601,0.009331568144261837,,80164
,,,,,,0.0001599996298901394,80165
5,0.0,0.002496125176548958,0.003810030408203602,0.009110942482948303,0.00800410471856594,,80165
,,,,,,0.0001599996298901394,80166
5,0.0,0.0012666251277551055,0.003182230284437537,0.009415741078555584,0.0067700534127652645,,80166
,,,,,,0.0001599996298901394,80167
5,0.0,0.0009357933886349201,0.004021908156573772,0.012825749814510345,0.008354145102202892,,80167
,,,,,,0.0001599996298901394,80168
